CVE_ID,Description,Published,Link,CWEs,CWE_Names,Top_Level_Categories
CVE-2019-16007,"A vulnerability in the inter-service communication of Cisco AnyConnect Secure Mobility Client for Android could allow an unauthenticated, local attacker to perform a service hijack attack on an affected device or cause a denial of service (DoS) condition. The vulnerability is due to the use of implicit service invocations. An attacker could exploit this vulnerability by persuading a user to install a malicious application. A successful exploit could allow the attacker to access confidential user information or cause a DoS condition on the AnyConnect application.",2020-09-23T01:15:13.627,https://nvd.nist.gov/vuln/detail/CVE-2019-16007,CWE-345,Insufficient Verification of Data Authenticity,Protection Mechanism Failure
CVE-2021-25343,Calling of non-existent provider in Samsung Members prior to version 2.4.81.13 (in Android O(8.1) and below) and 3.8.00.13 (in Android P(9.0) and above) allows unauthorized actions including denial of service attack by hijacking the provider.,2021-03-04T22:15:13.970,https://nvd.nist.gov/vuln/detail/CVE-2021-25343,CWE-287,Improper Authentication,Improper Access Control
CVE-2021-25373,"Using unsafe PendingIntent in Customization Service prior to version 2.2.02.1 in Android O(8.x), 2.4.03.0 in Android P(9.0), 2.7.02.1 in Android Q(10.0) and 2.9.01.1 in Android R(11.0) allows local attackers to perform unauthorized action without permission via hijacking the PendingIntent.",2021-04-09T18:15:15.023,https://nvd.nist.gov/vuln/detail/CVE-2021-25373,CWE-285,Improper Authorization,Improper Access Control
CVE-2018-14992,"The ASUS ZenFone 3 Max Android device with a build fingerprint of asus/US_Phone/ASUS_X008_1:7.0/NRD90M/US_Phone-14.14.1711.92-20171208:user/release-keys contains a pre-installed platform app with a package name of com.asus.dm (versionCode=1510500200, versionName=1.5.0.40_171122) has an exposed interface in an exported service named com.asus.dm.installer.DMInstallerService that allows any app co-located on the device to use its capabilities to download an arbitrary app over the internet and install it. Any app on the device can send an intent with specific embedded data that will cause the com.asus.dm app to programmatically download and install the app. For the app to be downloaded and installed, certain data needs to be provided: download URL, package name, version name from the app's AndroidManifest.xml file, and the MD5 hash of the app. Moreover, any app that is installed using this method can also be programmatically uninstalled using the same unprotected component named com.asus.dm.installer.DMInstallerService.",2018-12-28T21:29:00.603,https://nvd.nist.gov/vuln/detail/CVE-2018-14992,N/A,N/A,Other
CVE-2016-6718,An elevation of privilege vulnerability in the Account Manager Service in Android 7.0 before 2016-11-01 could enable a local malicious application to retrieve sensitive information without user interaction. This issue is rated as Moderate because it is a local bypass of user interaction requirements (access to functionality that would normally require either user initiation or user permission.) Android ID: A-30455516.,2016-11-25T16:59:23.253,https://nvd.nist.gov/vuln/detail/CVE-2016-6718,CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Improper Control of a Resource Through its Lifetime
CVE-2016-6724,"A denial of service vulnerability in the Input Manager Service in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, 6.x before 2016-11-01, and 7.0 before 2016-11-01 could enable a local malicious application to cause the device to continually reboot. This issue is rated as Moderate because it is a temporary denial of service that requires a factory reset to fix. Android ID: A-30568284.",2016-11-25T16:59:27.753,https://nvd.nist.gov/vuln/detail/CVE-2016-6724,CWE-284,Improper Access Control,Improper Access Control
CVE-2016-6763,"A denial of service vulnerability in Telephony could enable a local malicious application to use a specially crafted file to cause a device hang or reboot. This issue is rated as High due to the possibility of local permanent denial of service. Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0. Android ID: A-31530456.",2017-01-12T15:59:00.417,https://nvd.nist.gov/vuln/detail/CVE-2016-6763,CWE-284,Improper Access Control,Improper Access Control
CVE-2017-0496,"A denial of service vulnerability in Setup Wizard could allow a local malicious application to temporarily block access to an affected device. This issue is rated as Moderate because it may require a factory reset to repair the device. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1. Android ID: A-31554152.",2017-03-08T01:59:01.987,https://nvd.nist.gov/vuln/detail/CVE-2017-0496,N/A,N/A,Other
CVE-2017-0499,"A denial of service vulnerability in Audioserver could enable a local malicious application to cause a device hang or reboot. This issue is rated as Low due to the possibility of a temporary denial of service. Product: Android. Versions: 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1. Android ID: A-32095713.",2017-03-08T01:59:02.080,https://nvd.nist.gov/vuln/detail/CVE-2017-0499,CWE-20,Improper Input Validation,Improper Neutralization
CVE-2017-0553,"An elevation of privilege vulnerability in libnl could enable a local malicious application to execute arbitrary code within the context of the Wi-Fi service. This issue is rated as Moderate because it first requires compromising a privileged process and is mitigated by current platform configurations. Product: Android. Versions: 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1. Android ID: A-32342065. NOTE: this issue also exists in the upstream libnl before 3.3.0 library.",2017-04-07T22:59:00.717,https://nvd.nist.gov/vuln/detail/CVE-2017-0553,CWE-190,Integer Overflow or Wraparound,Incorrect Calculation
CVE-2019-5625,"The Android mobile application Halo Home before 1.11.0 stores OAuth authentication and refresh access tokens in a clear text file. This file persists until the user logs out of the application and reboots the device. This vulnerability can allow an attacker to impersonate the legitimate user by reusing the stored OAuth token, thus allowing them to view and change the user's personal information stored in the backend cloud service. The attacker would first need to gain physical control of the Android device or compromise it with a malicious app.",2019-05-22T18:29:01.177,https://nvd.nist.gov/vuln/detail/CVE-2019-5625,CWE-522; CWE-922,Insecure Storage of Sensitive Information; Insufficiently Protected Credentials,Improper Access Control; Improper Control of a Resource Through its Lifetime
CVE-2019-14220,An issue was discovered in BlueStacks 4.110 and below on macOS and on 4.120 and below on Windows. BlueStacks employs Android running in a virtual machine (VM) to enable Android apps to run on Windows or MacOS. Bug is in a local arbitrary file read through a system service call. The impacted method runs with System admin privilege and if given the file name as parameter returns you the content of file. A malicious app using the affected method can then read the content of any system file which it is not authorized to read,2019-09-24T21:15:10.177,https://nvd.nist.gov/vuln/detail/CVE-2019-14220,CWE-269,Improper Privilege Management,Improper Access Control
CVE-2014-9908,"A Denial of Service vulnerability exists in Google Android 4.4.4, 5.0.2, and 5.1.1, which allows malicious users to block Bluetooh access (Android Bug ID A-28672558).",2020-01-08T15:15:11.103,https://nvd.nist.gov/vuln/detail/CVE-2014-9908,N/A,N/A,Other
CVE-2016-6585,"A Denial of Service vulnerability exists in Symantec Norton Mobile Security for Android prior to 3.16, which could let a remote malicious user conduct a man-in-the-middle attack via specially crafted JavaScript.",2020-01-08T19:15:10.767,https://nvd.nist.gov/vuln/detail/CVE-2016-6585,CWE-20,Improper Input Validation,Improper Neutralization
CVE-2020-0442,"In Message and toBundle of Notification.java, there is a possible UI slowdown or crash due to improper input validation. This could lead to remote denial of service if a malicious contact file is received, with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10 Android-11 Android-8.0 Android-8.1 Android-9Android ID: A-147358092",2020-11-10T13:15:12.303,https://nvd.nist.gov/vuln/detail/CVE-2020-0442,CWE-20,Improper Input Validation,Improper Neutralization
CVE-2021-0551,"In bind of MediaControlPanel.java, there is a possible way to lock up the system UI using a malicious media file due to improper input validation. This could lead to remote denial of service with no additional execution privileges needed. User interaction is needed for exploitation.Product: AndroidVersions: Android-11Android ID: A-180518039",2021-06-22T12:15:09.567,https://nvd.nist.gov/vuln/detail/CVE-2021-0551,CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),Improper Neutralization
CVE-2021-34423,"A buffer overflow vulnerability was discovered in Zoom Client for Meetings (for Android, iOS, Linux, macOS, and Windows) before version 5.8.4, Zoom Client for Meetings for Blackberry (for Android and iOS) before version 5.8.1, Zoom Client for Meetings for intune (for Android and iOS) before version 5.8.4, Zoom Client for Meetings for Chrome OS before version 5.0.1, Zoom Rooms for Conference Room (for Android, AndroidBali, macOS, and Windows) before version 5.8.3, Controllers for Zoom Rooms (for Android, iOS, and Windows) before version 5.8.3, Zoom VDI Windows Meeting Client before version 5.8.4, Zoom VDI Azure Virtual Desktop Plugins (for Windows x86 or x64, IGEL x64, Ubuntu x64, HP ThinPro OS x64) before version 5.8.4.21112, Zoom VDI Citrix Plugins (for Windows x86 or x64, Mac Universal Installer & Uninstaller, IGEL x64, eLux RP6 x64, HP ThinPro OS x64, Ubuntu x64, CentOS x 64, Dell ThinOS) before version 5.8.4.21112, Zoom VDI VMware Plugins (for Windows x86 or x64, Mac Universal Installer & Uninstaller, IGEL x64, eLux RP6 x64, HP ThinPro OS x64, Ubuntu x64, CentOS x 64, Dell ThinOS) before version 5.8.4.21112, Zoom Meeting SDK for Android before version 5.7.6.1922, Zoom Meeting SDK for iOS before version 5.7.6.1082, Zoom Meeting SDK for macOS before version 5.7.6.1340, Zoom Meeting SDK for Windows before version 5.7.6.1081, Zoom Video SDK (for Android, iOS, macOS, and Windows) before version 1.1.2, Zoom On-Premise Meeting Connector Controller before version 4.8.12.20211115, Zoom On-Premise Meeting Connector MMR before version 4.8.12.20211115, Zoom On-Premise Recording Connector before version 5.1.0.65.20211116, Zoom On-Premise Virtual Room Connector before version 4.4.7266.20211117, Zoom On-Premise Virtual Room Connector Load Balancer before version 2.5.5692.20211117, Zoom Hybrid Zproxy before version 1.0.1058.20211116, and Zoom Hybrid MMR before version 4.6.20211116.131_x86-64. This can potentially allow a malicious actor to crash the service or application, or leverage this vulnerability to execute arbitrary code.",2021-11-24T17:15:07.757,https://nvd.nist.gov/vuln/detail/CVE-2021-34423,CWE-120,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),Improper Control of a Resource Through its Lifetime
CVE-2021-38788,"The Background service in Allwinner R818 SoC Android Q SDK V1.0 is used to manage background applications. Malicious apps can use the interface provided by the service to set the number of applications allowed to run in the background to 0 and add themselves to the whitelist, so that once other applications enter the background, they will be forcibly stopped by the system, causing a denial of service.",2022-01-19T16:15:07.370,https://nvd.nist.gov/vuln/detail/CVE-2021-38788,N/A,N/A,Other
CVE-2022-22787,"The Zoom Client for Meetings (for Android, iOS, Linux, macOS, and Windows) before version 5.10.0 fails to properly validate the hostname during a server switch request. This issue could be used in a more sophisticated attack to trick an unsuspecting users client to connect to a malicious server when attempting to use Zoom services.",2022-05-18T17:15:08.630,https://nvd.nist.gov/vuln/detail/CVE-2022-22787,CWE-295,Improper Certificate Validation,Improper Access Control
CVE-2023-29723,"The Glitter Unicorn Wallpaper app for Android 7.0 thru 8.0 allows unauthorized applications to actively request permission to insert data into the database that records information about a user's personal preferences and will be loaded into memory to be read and used when the application is opened. By injecting data, the attacker can force the application to load malicious image URLs and display them in the UI. As the amount of data increases, it will eventually cause the application to trigger an OOM error and crash, resulting in a persistent denial of service attack.",2023-06-01T21:15:09.407,https://nvd.nist.gov/vuln/detail/CVE-2023-29723,N/A,N/A,Other
CVE-2023-29725,"The BT21 x BTS Wallpaper app 12 for Android allows unauthorized applications to actively request permission to insert data into the database that records information about a user's personal preferences and will be loaded into memory to be read and used when the application is opened. By injecting data, the attacker can force the application to load malicious image URLs and display them in the UI. As the amount of data increases, it will eventually cause the application to trigger an OOM error and crash, resulting in a persistent denial of service attack.",2023-06-02T04:15:49.863,https://nvd.nist.gov/vuln/detail/CVE-2023-29725,N/A,N/A,Other
CVE-2023-31014,"NVIDIA GeForce Now for Android contains a vulnerability in the game launcher component, where a malicious application on the same device can process the implicit intent meant for the streamer component. A successful exploit of this vulnerability may lead to limited information disclosure, denial of service, and code execution.",2023-09-20T02:15:20.783,https://nvd.nist.gov/vuln/detail/CVE-2023-31014,CWE-668; CWE-927,Exposure of Resource to Wrong Sphere; Use of Implicit Intent for Sensitive Communication,Improper Access Control; Improper Control of a Resource Through its Lifetime
CVE-2024-31215,"Mobile Security Framework (MobSF) is a security research platform for mobile applications in Android, iOS and Windows Mobile.
A SSRF vulnerability in firebase database check logic. The attacker can cause the server to make a connection to internal-only services within the organization’s infrastructure. When a malicious app is uploaded to Static analyzer, it is possible to make internal requests. This vulnerability has been patched in version 3.9.8.
",2024-04-04T16:15:09.787,https://nvd.nist.gov/vuln/detail/CVE-2024-31215,CWE-918,Server-Side Request Forgery (SSRF),Improper Control of a Resource Through its Lifetime
CVE-2024-27086,"The MSAL library enabled acquisition of security tokens to call protected APIs. MSAL.NET applications targeting Xamarin Android and .NET Android (e.g., MAUI) using the library from versions 4.48.0 to 4.60.0 are impacted by a low severity vulnerability.   
A malicious application running on a customer Android device    can cause local denial of service against applications that were built using MSAL.NET for authentication on the same device (i.e., prevent the user of the legitimate application from logging in) due to incorrect activity export configuration. MSAL.NET version 4.60.1 includes the fix.  As a workaround, a developer may explicitly mark the MSAL.NET activity non-exported.",2024-04-16T22:15:34.783,https://nvd.nist.gov/vuln/detail/CVE-2024-27086,CWE-863; CWE-926,Improper Export of Android Application Components; Incorrect Authorization,Improper Access Control
CVE-2023-38290,"Certain software builds for the BLU View 2 and Sharp Rouvo V Android devices contain a vulnerable pre-installed app with a package name of com.evenwell.fqc (versionCode='9020801', versionName='9.0208.01' ; versionCode='9020913', versionName='9.0209.13' ; versionCode='9021203', versionName='9.0212.03') that allows local third-party apps to execute arbitrary shell commands in its context (system user) due to inadequate access control. No permissions or special privileges are necessary to exploit the vulnerability in the com.evenwell.fqc app. No user interaction is required beyond installing and running a third-party app. The vulnerability allows local apps to access sensitive functionality that is generally restricted to pre-installed apps, such as programmatically performing the following actions: granting arbitrary permissions (which can be used to obtain sensitive user data), installing arbitrary apps, video recording the screen, wiping the device (removing the user's apps and data), injecting arbitrary input events, calling emergency phone numbers, disabling apps, accessing notifications, and much more. The software build fingerprints for each confirmed vulnerable device are as follows: BLU View 2 (BLU/B131DL/B130DL:11/RP1A.200720.011/1672046950:user/release-keys, BLU/B131DL/B130DL:11/RP1A.200720.011/1663816427:user/release-keys, BLU/B131DL/B130DL:11/RP1A.200720.011/1656476696:user/release-keys, BLU/B131DL/B130DL:11/RP1A.200720.011/1647856638:user/release-keys) and Sharp Rouvo V (SHARP/VZW_STTM21VAPP/STTM21VAPP:12/SP1A.210812.016/1KN0_0_460:user/release-keys and SHARP/VZW_STTM21VAPP/STTM21VAPP:12/SP1A.210812.016/1KN0_0_530:user/release-keys). This malicious app starts an exported activity named com.evenwell.fqc/.activity.ClickTest, crashes the com.evenwell.fqc app by sending an empty Intent (i.e., having not extras) to the com.evenwell.fqc/.FQCBroadcastReceiver receiver component, and then it sends command arbitrary shell commands to the com.evenwell.fqc/.FQCService service component which executes them with ""system"" privileges.",2024-04-22T15:15:46.657,https://nvd.nist.gov/vuln/detail/CVE-2023-38290,CWE-1263,Improper Physical Access Control,Improper Access Control
